Unnamed: 0,CSD_code,q,charge,S,mult,MND,nn,oxo_charge,oxo_mult
66,ABESEF,q,0,S,0,MND,7,,
67,ABESEI,q,0,S,0,MND,6,,
68,ABESUV,q,0,S,0,MND,6,,
69,ABETAF,q,0,S,0,MND,4,,
70,ABETEG,q,0,S,0,MND,5,,
71,ABETEH,q,0,S,0,MND,4,,
72,ABETIK,q,0,S,0,MND,13,,
73,ABETIL,q,0,S,0,MND,4,,
74,ABETOQ,q,0,S,0,MND,14,,
75,ABEVAG,q,0,S,0,MND,8,,
76,ABEVAH,q,0,S,0,MND,4,,
77,ABEVEJ,q,0,S,0,MND,3,,
78,ABEVEL,q,0,S,0,MND,4,,
79,ABEWOT,q,1,S,0,MND,9,,
80,ABEWUZ,q,1,S,0,MND,9,,
81,ABEXAG,q,0,S,0,MND,9,,
82,ABEXOU,q,0,S,0,MND,9,,
83,ABEXUA,q,0,S,0,MND,12,,
84,ABEYEL,q,0,S,0,MND,8,,
85,ABEYIP,q,0,S,0,MND,8,,
86,ABEYIQ,q,0,S,0,MND,5,,
87,ABEYUB,q,1,S,0,MND,8,,
88,ABEYUD,q,1,S,0,MND,6,,
89,ABEZAI,q,1,S,0,MND,8,,
90,ABEZAJ,q,0,S,0,MND,5,,
91,ABEZEO,q,1,S,0,MND,6,,
92,ABEZIS,q,1,S,0,MND,6,,
93,ABEZUD,q,1,S,0,MND,6,,
94,ABGTCU,q,1,S,0,MND,4,,
95,ABIBAP,q,1,S,0,MND,6,,
96,ABICAP,q,0,S,0,MND,7,,
97,ABICAQ,q,0,S,0,MND,7,,
98,ABICIX,q,0,S,0,MND,6,,
99,ABICIY,q,1,S,0,MND,6,,
100,ABICUK,q,0,S,0,MND,4,,
101,ABIDEU,q,0,S,0,MND,4,,
102,ABIDIB,q,0,S,0,MND,4,,
103,ABIDOE,q,0,S,0,MND,6,,
104,ABIFAV,q,0,S,0,MND,4,,
105,ABIFEZ,q,0,S,0,MND,4,,
106,ABIFUM,q,0,S,0,MND,6,,
107,ABIGIC,q,0,S,0,MND,12,,
108,ABIHUO,q,0,S,0,MND,7,,
109,ABIJEA,q,0,S,0,MND,7,,
110,ABIKAY,q,0,S,0,MND,6,,
111,ABIKOM,q,0,S,0,MND,6,,
112,ABIKUS,q,0,S,0,MND,6,,
113,ABIMUV,q,-1,S,0,MND,4,,
114,ABIPAE,q,0,S,0,MND,6,,
115,ABIPEI,q,1,S,0,MND,6,,
116,ABIPIK,q,0,S,0,MND,4,,
117,ABIQIN,q,0,S,0,MND,6,,
118,ABIQOR,q,0,S,0,MND,6,,
119,ABIQUX,q,0,S,0,MND,6,,
120,ABIQUY,q,0,S,0,MND,4,,
121,ABIRIO,q,0,S,0,MND,9,,
122,ABIROU,q,0,S,0,MND,9,,
123,ABIRUA,q,0,S,0,MND,9,,
124,ABISAH,q,0,S,0,MND,9,,
125,ABISAI,q,0,S,0,MND,9,,
126,ABISEL,q,0,S,0,MND,9,,
127,ABISEM,q,0,S,0,MND,9,,
128,ABISIO,q,1,S,0,MND,2,,
129,ABISIQ,q,0,S,0,MND,9,,
130,ABISOV,q,0,S,0,MND,6,,
131,ABISOW,q,0,S,0,MND,9,,
132,ABISUC,q,0,S,0,MND,9,,
133,ABITAJ,q,0,S,0,MND,9,,
134,ABITEM,q,0,S,0,MND,6,,
135,ABITEN,q,1,S,0,MND,9,,
136,ABIVAK,q,0,S,0,MND,6,,
137,ABIWUD,q,0,S,0,MND,4,,
138,ABIWUE,q,0,S,0,MND,4,,
139,ABIZIW,q,0,S,0,MND,5,,
140,ABIZOC,q,0,S,0,MND,4,,
141,ABOBAW,q,1,S,0,MND,6,,
142,ABOBEA,q,1,S,0,MND,6,,
143,ABOBIE,q,0,S,0,MND,4,,
144,ABOBOK,q,0,S,0,MND,5,,
145,ABOCEZ,q,0,S,0,MND,6,,
146,ABODUS,q,0,S,0,MND,4,,
147,ABOFAA,q,0,S,0,MND,4,,
148,ABOFAZ,q,0,S,0,MND,4,,
149,ABOJOT,q,0,S,0,MND,6,,
150,ABOLOV,q,0,S,0,MND,12,,
151,ABOMAI,q,1,S,0,MND,6,,
152,ABOPOX,q,0,S,0,MND,4,,
153,ABOPOY,q,0,S,0,MND,3,,
154,ABOQAJ,q,0,S,0,MND,6,,
155,ABOQEO,q,0,S,0,MND,4,,
156,ABOQOY,q,0,S,0,MND,4,,
157,ABOQUE,q,0,S,0,MND,4,,
158,ABORIV,q,0,S,0,MND,4,,
159,ABOSUH,q,1,S,0,MND,6,,
160,ABOTNI,q,0,S,0,MND,6,,
161,ABOWAQ,q,0,S,0,MND,9,,
162,ABOWOF,q,0,S,0,MND,5,,
163,ABOXEX,q,0,S,0,MND,7,,
164,ABOXIB,q,0,S,0,MND,7,,
165,ABOXIY,q,0,S,0,MND,4,,
166,ABOXOG,q,1,S,0,MND,6,,
167,ABOXOH,q,0,S,0,MND,7,,
168,ABOYAT,q,1,S,0,MND,6,,
169,ABOYEY,q,1,S,0,MND,7,,
170,ABOYOH,q,1,S,0,MND,6,,
171,ABOZEW,q,0,S,0,MND,12,,
172,ABOZIB,q,0,S,0,MND,6,,
173,ABOZOH,q,0,S,0,MND,4,,
174,ABUBII,q,0,S,0,MND,6,,
175,ABUBOO,q,0,S,0,MND,6,,
176,ABUBUU,q,0,S,0,MND,6,,
177,ABUCAC,q,0,S,0,MND,4,,
178,ABUDOS,q,0,S,0,MND,3,,
179,ABUFAE,q,0,S,0,MND,6,,
180,ABUFEJ,q,0,S,0,MND,6,,
181,ABUFIM,q,0,S,0,MND,6,,
182,ABUFOS,q,0,S,0,MND,6,,
183,ABUFUY,q,0,S,0,MND,6,,
184,ABUGOU,q,0,S,0,MND,6,,
185,ABUGUA,q,0,S,0,MND,6,,
186,ABUJEN,q,0,S,0,MND,5,,
187,ABUKAM,q,1,S,0,MND,6,,
188,ABUKEQ,q,1,S,0,MND,6,,
189,ABUKUG,q,1,S,0,MND,6,,
190,ABUMUH,q,0,S,0,MND,6,,
191,ABUPIX,q,0,S,0,MND,4,,
192,ABUSAU,q,0,S,0,MND,5,,
193,ABUSEW,q,0,S,0,MND,4,,
194,ABUSIA,q,0,S,0,MND,4,,
195,ABUTIB,q,0,S,0,MND,12,,
196,ABUTOH,q,0,S,0,MND,12,,
197,ABUVUO,q,0,S,0,MND,6,,
198,ABUVUP,q,0,S,0,MND,4,,
199,ABUWAV,q,0,S,0,MND,6,,
200,ABUWEZ,q,0,S,0,MND,4,,
201,ABUXIF,q,0,S,0,MND,4,,
202,ABUXOK,q,0,S,0,MND,6,,
203,ABUYAX,q,0,S,0,MND,4,,
204,ABXNIH,q,1,S,0,MND,4,,
205,ACACAJ,q,0,S,0,MND,6,,
206,ACACEM,q,1,S,0,MND,8,,
207,ACACMN,q,0,S,0,MND,6,,
208,ACACRS,q,0,S,0,MND,6,,
209,ACADCO,q,1,S,0,MND,6,,
210,ACAFUI,q,1,S,0,MND,7,,
211,ACALOI,q,0,S,0,MND,5,,
212,ACANPI,q,0,S,0,MND,6,,
213,ACAPDA,q,1,S,0,MND,4,,
214,ACAPNI,q,0,S,0,MND,6,,
215,ACAPUQ,q,1,S,0,MND,6,,
216,ACAQAW,q,0,S,0,MND,4,,
217,ACAQIE,q,1,S,0,MND,6,,
218,ACAQOK,q,0,S,0,MND,7,,
219,ACAQUS,q,0,S,0,MND,6,,
220,ACARAZ,q,0,S,0,MND,6,,
221,ACARED,q,0,S,0,MND,6,,
222,ACAREE,q,0,S,0,MND,9,,
223,ACARII,q,0,S,0,MND,9,,
224,ACARON,q,0,S,0,MND,6,,
225,ACARUT,q,0,S,0,MND,6,,
226,ACASII,q,0,S,0,MND,6,,
227,ACASOO,q,0,S,0,MND,4,,
228,ACATUT,q,0,S,0,MND,6,,
229,ACAWIK,q,0,S,0,MND,6,,
230,ACAWOR,q,0,S,0,MND,4,,
231,ACAXIO,q,0,S,0,MND,8,,
232,ACAXOU,q,0,S,0,MND,8,,
233,ACAXUA,q,0,S,0,MND,8,,
234,ACAZFE,q,0,S,0,MND,7,,
235,ACAZOU,q,0,S,0,MND,4,,
236,ACDIPT,q,0,S,0,MND,6,,
237,ACEBER,q,0,S,0,MND,5,,
238,ACEBIV,q,0,S,0,MND,6,,
239,ACEBOB,q,0,S,0,MND,6,,
240,ACEDUH,q,0,S,0,MND,8,,
241,ACEFAP,q,0,S,0,MND,8,,
242,ACEFET,q,0,S,0,MND,8,,
243,ACEGAT,q,0,S,0,MND,2,,
244,ACEHOI,q,0,S,0,MND,4,,
245,ACEJUP,q,0,S,0,MND,4,,
246,ACEKAU,q,0,S,0,MND,4,,
247,ACEMEC,q,-1,S,0,MND,4,,
248,ACEMIG,q,0,S,0,MND,9,,
249,ACEPUT,q,0,S,0,MND,6,,
250,ACEQAA,q,0,S,0,MND,4,,
251,ACERUV,q,0,S,0,MND,5,,
252,ACESAC,q,0,S,0,MND,5,,
253,ACESIK,q,0,S,0,MND,6,,
254,ACESOQ,q,0,S,0,MND,6,,
255,ACETUX,q,0,S,0,MND,4,,
256,ACEWEK,q,0,S,0,MND,8,,
257,ACEWIO,q,0,S,0,MND,4,,
258,ACEYNI,q,0,S,0,MND,4,,
259,ACEZAJ,q,0,S,0,MND,2,,
260,ACHPHG,q,0,S,0,MND,4,,
261,ACIDAS,q,1,S,0,MND,6,,
262,ACIFEA,q,1,S,0,MND,6,,
263,ACIFEY,q,0,S,0,MND,4,,
264,ACIFOJ,q,-1,S,0,MND,4,,
265,ACIHAV,q,0,S,0,MND,7,,
266,ACIHUP,q,0,S,0,MND,6,,
267,ACILAZ,q,0,S,0,MND,6,,
268,ACILIH,q,-1,S,0,MND,5,,
269,ACINEH,q,0,S,0,MND,4,,
270,ACINIM,q,0,S,0,MND,4,,
271,ACIPAG,q,1,S,0,MND,2,,
272,ACIPTI,q,0,S,0,MND,6,,
273,ACIQEK,q,0,S,0,MND,3,,
274,ACISOU,q,0,S,0,MND,6,,
275,ACIZIW,q,0,S,0,MND,4,,
276,ACLBNI,q,0,S,0,MND,6,,
277,ACMPNI,q,0,S,0,MND,6,,
278,ACMYCR,q,0,S,0,MND,6,,
279,ACNCFE,q,0,S,0,MND,6,,
280,ACNPCO,q,0,S,0,MND,6,,
281,ACOBEA,q,0,S,0,MND,4,,
282,ACOBIE,q,0,S,0,MND,12,,
283,ACOBOM,q,0,S,0,MND,4,,
284,ACOBUQ,q,0,S,0,MND,12,,
285,ACOCIF,q,0,S,0,MND,5,,
286,ACOCUQ,q,1,S,0,MND,4,,
287,ACODUR,q,0,S,0,MND,8,,
288,ACOFAZ,q,0,S,0,MND,8,,
289,ACOGOR,q,0,S,0,MND,7,,
290,ACOJEK,q,0,S,0,MND,6,,
291,ACOJOS,q,0,S,0,MND,3,,
292,ACOJUX,q,0,S,0,MND,7,,
293,ACOLOW,q,0,S,0,MND,6,,
294,ACOMOV,q,0,S,0,MND,6,,
295,ACOMUA,q,1,S,0,MND,8,,
296,ACONEO,q,0,S,0,MND,4,,
297,ACONIQ,q,-1,S,0,MND,5,,
298,ACONPB,q,0,S,0,MND,6,,
299,ACOQOZ,q,0,S,0,MND,6,,
300,ACORAM,q,0,S,0,MND,6,,
301,ACORUI,q,0,S,0,MND,4,,
302,ACOSAM,q,0,S,0,MND,8,,
303,ACOSAP,q,0,S,0,MND,4,,
304,ACOSEQ,q,0,S,0,MND,6,,
305,ACOSEU,q,0,S,0,MND,6,,
306,ACOSIU,q,0,S,0,MND,6,,
307,ACOSOA,q,0,S,0,MND,6,,
308,ACOSOD,q,0,S,0,MND,4,,
309,ACOVAR,q,1,S,0,MND,6,,
310,ACOWAS,q,0,S,0,MND,4,,
311,ACOWIA,q,0,S,0,MND,4,,
312,ACOWUM,q,0,S,0,MND,4,,
313,ACOXEX,q,0,S,0,MND,4,,
314,ACOXOH,q,0,S,0,MND,9,,
315,ACOXUN,q,0,S,0,MND,8,,
316,ACOYEW,q,0,S,0,MND,9,,
317,ACOYIA,q,0,S,0,MND,9,,
318,ACOZIE,q,1,S,0,MND,6,,
319,ACOZOJ,q,0,S,0,MND,4,,
320,ACPIPR,q,0,S,0,MND,6,,
321,ACPIRE,q,0,S,0,MND,6,,
322,ACPMNA,q,0,S,0,MND,6,,
323,ACPXNI,q,0,S,0,MND,6,,
324,ACPYZN,q,0,S,0,MND,4,,
325,ACTBPD,q,0,S,0,MND,4,,
326,ACTFIR,q,0,S,0,MND,6,,
327,ACUCAD,q,0,S,0,MND,4,,
328,ACUCAF,q,0,S,0,MND,4,,
329,ACUCIM,q,0,S,0,MND,4,,
330,ACUDOR,q,0,S,0,MND,9,,
331,ACUDOT,q,0,S,0,MND,5,,
332,ACUDUA,q,0,S,0,MND,6,,
333,ACUDUX,q,0,S,0,MND,9,,
334,ACUFAF,q,0,S,0,MND,9,,
335,ACUFOW,q,0,S,0,MND,4,,
336,ACUGAJ,q,0,S,0,MND,4,,
337,ACUGEN,q,0,S,0,MND,4,,
338,ACUGIP,q,0,S,0,MND,11,,
339,ACUGOV,q,0,S,0,MND,10,,
340,ACUGUB,q,0,S,0,MND,10,,
341,ACUGUC,q,1,S,0,MND,6,,
342,ACUJEP,q,0,S,0,MND,4,,
343,ACUJEQ,q,0,S,0,MND,4,,
344,ACUJUG,q,0,S,0,MND,6,,
345,ACUKIU,q,0,S,0,MND,8,,
346,ACUKOB,q,0,S,0,MND,6,,
347,ACUQUN,q,0,S,0,MND,6,,
348,ACURAU,q,0,S,0,MND,6,,
349,ACURIA,q,0,S,0,MND,8,,
350,ACUROG,q,0,S,0,MND,6,,
351,ACUROI,q,1,S,0,MND,6,,
352,ACURUM,q,0,S,0,MND,6,,
353,ACUSAS,q,0,S,0,MND,4,,
354,ACUSAT,q,0,S,0,MND,6,,
355,ACUSIA,q,0,S,0,MND,6,,
356,ACUSIB,q,0,S,0,MND,6,,
357,ACUSOH,q,0,S,0,MND,8,,
358,ACUSOJ,q,1,S,0,MND,6,,
359,ACUSUP,q,0,S,0,MND,4,,
360,ACUTAU,q,-1,S,0,MND,6,,
361,ACUTEA,q,1,S,0,MND,6,,
362,ACUTEX,q,0,S,0,MND,9,,
363,ACUTIB,q,0,S,0,MND,9,,
364,ACUTIE,q,1,S,0,MND,6,,
365,ACUWOK,q,0,S,0,MND,4,,
366,ACUWUQ,q,0,S,0,MND,4,,
367,ACUWUT,q,0,S,0,MND,4,,
368,ACUXAX,q,0,S,0,MND,4,,
369,ACUXEC,q,0,S,0,MND,10,,
370,ACUYIJ,q,0,S,0,MND,6,,
371,ACUYOP,q,0,S,0,MND,6,,
372,ACUYUT,q,0,S,0,MND,9,,
373,ACUYUU,q,0,S,0,MND,2,,
374,ACUYUV,q,0,S,0,MND,6,,
375,ACUZAA,q,0,S,0,MND,9,,
376,ACUZEG,q,1,S,0,MND,6,,
377,ACUZII,q,0,S,0,MND,6,,
378,ACUZIK,q,0,S,0,MND,5,,
379,ACXMPD,q,0,S,0,MND,4,,
380,ADABIT,q,1,S,0,MND,6,,
381,ADABOW,q,0,S,0,MND,5,,
382,ADABUC,q,0,S,0,MND,5,,
383,ADABUF,q,0,S,0,MND,4,,
384,ADACEQ,q,1,S,0,MND,6,,
385,ADACOX,q,0,S,0,MND,8,,
386,ADACUD,q,0,S,0,MND,8,,
387,ADADAM,q,0,S,0,MND,6,,
388,ADADIS,q,0,S,0,MND,8,,
389,ADADIU,q,1,S,0,MND,6,,
390,ADAHOD,q,1,S,0,MND,2,,
391,ADAHOF,q,1,S,0,MND,2,,
392,ADAKAT,q,0,S,0,MND,3,,
393,ADALUM,q,0,S,0,MND,12,,
394,ADAMAT,q,0,S,0,MND,12,,
395,ADAMEZ,q,0,S,0,MND,6,,
396,ADANEB,q,1,S,0,MND,9,,
397,ADANOJ,q,0,S,0,MND,12,,
398,ADAPON,q,0,S,0,MND,6,,
399,ADAPUT,q,0,S,0,MND,6,,
400,ADAQUU,q,0,S,0,MND,6,,
401,ADAREF,q,0,S,0,MND,6,,
402,ADASII,q,0,S,0,MND,4,,
403,ADASOQ,q,1,S,0,MND,4,,
404,ADAVUZ,q,0,S,0,MND,6,,
405,ADAWIO,q,1,S,0,MND,5,,
406,ADAZAI,q,1,S,0,MND,9,,
407,ADBPPD,q,0,S,0,MND,4,,
408,ADEBAN,q,0,S,0,MND,4,,
409,ADEBET,q,0,S,0,MND,4,,
410,ADEBIV,q,0,S,0,MND,6,,
411,ADEBUH,q,0,S,0,MND,4,,
412,ADEFIZ,q,1,S,0,MND,6,,
413,ADEGEX,q,0,S,0,MND,4,,
414,ADEGIB,q,0,S,0,MND,6,,
415,ADEGOH,q,0,S,0,MND,6,,
416,ADEGUN,q,0,S,0,MND,6,,
417,ADEHOH,q,0,S,0,MND,4,,
418,ADEHOI,q,1,S,0,MND,6,,
419,ADEKUS,q,1,S,0,MND,6,,
420,ADEMII,q,0,S,0,MND,5,,
421,ADEMOO,q,1,S,0,MND,6,,
422,ADEPIJ,q,0,S,0,MND,6,,
423,ADEQAC,q,0,S,0,MND,4,,
424,ADEQUX,q,0,S,0,MND,5,,
425,ADERIM,q,0,S,0,MND,8,,
426,ADERIN,q,0,S,0,MND,6,,
427,ADEROS,q,0,S,0,MND,8,,
428,ADERUZ,q,0,S,0,MND,6,,
429,ADESEH,q,0,S,0,MND,6,,
430,ADESIL,q,0,S,0,MND,6,,
431,ADESOR,q,0,S,0,MND,6,,
432,ADETIO,q,0,S,0,MND,2,,
433,ADETOV,q,0,S,0,MND,4,,
434,ADEVEK,q,0,S,0,MND,8,,
435,ADEVEM,q,0,S,0,MND,2,,
436,ADEVIQ,q,0,S,0,MND,2,,
437,ADEVOU,q,0,S,0,MND,4,,
438,ADEXEM,q,0,S,0,MND,12,,
439,ADEXOW,q,0,S,0,MND,6,,
440,ADEXUC,q,0,S,0,MND,6,,
441,ADEYIR,q,0,S,0,MND,9,,
442,ADEYOX,q,0,S,0,MND,9,,
443,ADEYUD,q,0,S,0,MND,9,,
444,ADEZAK,q,0,S,0,MND,8,,
445,ADEZIS,q,0,S,0,MND,9,,
446,ADEZOY,q,0,S,0,MND,8,,
447,ADEZUE,q,0,S,0,MND,9,,
448,ADIBEX,q,0,S,0,MND,4,,
449,ADIBUL,q,0,S,0,MND,4,,
450,ADIFID,q,0,S,0,MND,4,,
451,ADIFOJ,q,0,S,0,MND,13,,
452,ADIGAV,q,0,S,0,MND,6,,
453,ADIGEC,q,0,S,0,MND,6,,
454,ADIHEA,q,0,S,0,MND,4,,
455,ADIJAZ,q,0,S,0,MND,4,,
456,ADILIL,q,0,S,0,MND,5,,
457,ADIMEG,q,0,S,0,MND,4,,
458,ADIMOS,q,0,S,0,MND,6,,
459,ADIMUY,q,0,S,0,MND,4,,
460,ADINOQ,q,0,S,0,MND,5,,
461,ADINOR,q,0,S,0,MND,9,,
462,ADINOS,q,1,S,0,MND,4,,
463,ADIPOV,q,0,S,0,MND,4,,
464,ADIPUB,q,0,S,0,MND,5,,
465,ADIQAI,q,0,S,0,MND,5,,
466,ADIREN,q,0,S,0,MND,4,,
467,ADIRIP,q,0,S,0,MND,4,,
468,ADIRIR,q,0,S,0,MND,4,,
469,ADISEO,q,0,S,0,MND,7,,
470,ADIWIV,q,0,S,0,MND,4,,
471,ADIXAM,q,0,S,0,MND,4,,
472,ADIXEQ,q,0,S,0,MND,4,,
473,ADIXER,q,0,S,0,MND,4,,
474,ADIXOA,q,0,S,0,MND,13,,
475,ADIXUI,q,0,S,0,MND,4,,
476,ADIYAP,q,0,S,0,MND,4,,
477,ADIYER,q,0,S,0,MND,4,,
478,ADIYET,q,0,S,0,MND,6,,
479,ADIYOD,q,0,S,0,MND,6,,
480,ADIZIW,q,1,S,0,MND,8,,
481,ADMTMO,q,0,S,0,MND,5,,
482,ADOBUT,q,0,S,0,MND,6,,
483,ADOCAA,q,0,S,0,MND,6,,
484,ADOCEE,q,0,S,0,MND,6,,
485,ADOCII,q,0,S,0,MND,6,,
486,ADOCOL,q,0,S,0,MND,9,,
487,ADOCOO,q,0,S,0,MND,6,,
488,ADOCUR,q,0,S,0,MND,9,,
489,ADOCUT,q,0,S,0,MND,14,,
490,ADODAY,q,0,S,0,MND,8,,
491,ADOFAD,q,0,S,0,MND,4,,
492,ADOFOR,q,0,S,0,MND,4,,
493,ADOJIP,q,0,S,0,MND,6,,
494,ADOJUB,q,0,S,0,MND,4,,
495,ADOKIO,q,0,S,0,MND,4,,
496,ADOLEL,q,0,S,0,MND,4,,
497,ADOLOU,q,0,S,0,MND,4,,
498,ADOLUA,q,0,S,0,MND,2,,
499,ADOMEO,q,0,S,0,MND,7,,
500,ADOMIS,q,0,S,0,MND,7,,
501,ADOPUE,q,0,S,0,MND,4,,
502,ADOQEP,q,1,S,0,MND,4,,
503,ADORUG,q,0,S,0,MND,4,,
504,ADOTIZ,q,0,S,0,MND,6,,
505,ADOTOF,q,0,S,0,MND,6,,
506,ADOTUL,q,0,S,0,MND,6,,
507,ADOWOG,q,0,S,0,MND,4,,
508,ADOWUM,q,0,S,0,MND,4,,
509,ADOXAT,q,0,S,0,MND,4,,
510,ADOXEX,q,0,S,0,MND,4,,
511,ADOXIB,q,0,S,0,MND,4,,
512,ADOXOH,q,0,S,0,MND,7,,
513,ADOXUN,q,0,S,0,MND,7,,
514,ADOYAW,q,0,S,0,MND,4,,
515,ADOZOJ,q,1,S,0,MND,6,,
516,ADUCOT,q,0,S,0,MND,9,,
517,ADUCUZ,q,0,S,0,MND,9,,
518,ADUDAG,q,0,S,0,MND,9,,
519,ADUDEK,q,0,S,0,MND,9,,
520,ADUFAJ,q,1,S,0,MND,6,,
521,ADUFIQ,q,0,S,0,MND,4,,
522,ADUFIR,q,0,S,0,MND,6,,
523,ADUFOW,q,0,S,0,MND,4,,
524,ADUFUB,q,0,S,0,MND,10,,
525,ADUFUD,q,0,S,0,MND,4,,
526,ADUGAJ,q,1,S,0,MND,4,,
527,ADUGAK,q,1,S,0,MND,5,,
528,ADUGEO,q,1,S,0,MND,3,,
529,ADUGIS,q,0,S,0,MND,4,,
530,ADUGOW,q,0,S,0,MND,4,,
531,ADUGOY,q,0,S,0,MND,4,,
532,ADUHAJ,q,0,S,0,MND,4,,
533,ADUHAL,q,0,S,0,MND,4,,
534,ADUHIR,q,0,S,0,MND,12,,
535,ADUHIS,q,1,S,0,MND,8,,
536,ADUHOY,q,0,S,0,MND,8,,
537,ADUHUD,q,1,S,0,MND,11,,
538,ADUJEP,q,1,S,0,MND,12,,
539,ADUJEQ,q,0,S,0,MND,8,,
540,ADUJIT,q,1,S,0,MND,9,,
541,ADUJOB,q,1,S,0,MND,3,,
542,ADUJUF,q,1,S,0,MND,9,,
543,ADUKAM,q,0,S,0,MND,6,,
544,ADUKER,q,0,S,0,MND,4,,
545,ADUKIV,q,0,S,0,MND,4,,
546,ADULAN,q,0,S,0,MND,4,,
547,ADULIV,q,0,S,0,MND,4,,
548,ADUMAP,q,0,S,0,MND,6,,
549,ADUMER,q,0,S,0,MND,6,,
550,ADUMET,q,0,S,0,MND,6,,
551,ADUMIV,q,0,S,0,MND,6,,
552,ADUMOC,q,0,S,0,MND,4,,
553,ADUMUJ,q,0,S,0,MND,4,,
554,ADUNAQ,q,0,S,0,MND,4,,
555,ADUNEU,q,0,S,0,MND,4,,
556,ADUNIY,q,0,S,0,MND,4,,
557,ADUNOC,q,0,S,0,MND,4,,
558,ADUNOE,q,0,S,0,MND,4,,
559,ADUPAS,q,0,S,0,MND,7,,
560,ADUQEV,q,0,S,0,MND,4,,
561,ADURAS,q,0,S,0,MND,4,,
562,ADURAU,q,-1,S,0,MND,6,,
563,ADUREX,q,0,S,0,MND,4,,
564,ADUREY,q,-1,S,0,MND,6,,
565,ADURIC,q,0,S,0,MND,6,,
566,ADUROG,q,0,S,0,MND,4,,
567,ADUROH,q,0,S,0,MND,5,,
568,ADUROJ,q,0,S,0,MND,6,,
569,ADURUM,q,0,S,0,MND,4,,
570,ADURUP,q,1,S,0,MND,7,,
571,ADUSAT,q,0,S,0,MND,4,,
572,ADUSEZ,q,0,S,0,MND,4,,
573,ADUVAW,q,0,S,0,MND,4,,
574,ADUVOL,q,0,S,0,MND,4,,
575,ADUXAB,q,1,S,0,MND,5,,
576,ADUXEF,q,0,S,0,MND,8,,
577,ADUXIJ,q,0,S,0,MND,4,,
578,ADUYAZ,q,0,S,0,MND,8,,
579,ADUYED,q,0,S,0,MND,8,,
580,ADUYIH,q,1,S,0,MND,8,,
581,ADUYOP,q,0,S,0,MND,8,,
